
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"
# Contour 0, label:        5
 4.16142 -1.18474  5 
 4.09091 -1.22355  5 
 4.08839 -1.2249  5 
 4.00925 -1.26506  5 
 3.9899 -1.27437  5 
 3.92334 -1.30522  5 
 3.88889 -1.32036  5 
 3.82948 -1.34538  5 
 3.78788 -1.362  5 
 3.72604 -1.38554  5 
 3.68687 -1.39969  5 
 3.6107 -1.4257  5 
 3.58586 -1.43376  5 
 3.48485 -1.46448  5 
 3.47999 -1.46586  5 
 3.38384 -1.49188  5 
 3.32689 -1.50602  5 
 3.28283 -1.51643  5 
 3.18182 -1.53816  5 
 3.14041 -1.54618  5 
 3.08081 -1.55718  5 
 2.9798 -1.57364  5 
 2.88903 -1.58635  5 
 2.87879 -1.58771  5 
 2.77778 -1.59925  5 
 2.67677 -1.60853  5 
 2.57576 -1.61559  5 
 2.47475 -1.62046  5 
 2.37374 -1.62315  5 
 2.27273 -1.62372  5 
 2.17172 -1.62218  5 
 2.07071 -1.61857  5 
 1.9697 -1.61293  5 
 1.86869 -1.60529  5 
 1.76768 -1.59567  5 
 1.68659 -1.58635  5 
 1.66667 -1.58409  5 
 1.56566 -1.57048  5 
 1.46465 -1.555  5 
 1.41381 -1.54618  5 
 1.36364 -1.53761  5 
 1.26263 -1.51838  5 
 1.20356 -1.50602  5 
 1.16162 -1.49737  5 
 1.06061 -1.47468  5 
 1.02407 -1.46586  5 
 0.959596 -1.45046  5 
 0.861675 -1.4257  5 
 0.858586 -1.42493  5 
 0.757576 -1.39837  5 
 0.709858 -1.38554  5 
 0.656566 -1.37124  5 
 0.560028 -1.34538  5 
 0.555556 -1.34418  5 
 0.454545 -1.31808  5 
 0.400081 -1.30522  5 
 0.353535 -1.29413  5 
 0.252525 -1.27385  5 
 0.192667 -1.26506  5 
 0.151515 -1.25896  5 
 0.0505051 -1.25102  5 
-0.0505051 -1.25102  5 
-0.151515 -1.25896  5 
-0.192667 -1.26506  5 
-0.252525 -1.27385  5 
-0.353535 -1.29413  5 
-0.400081 -1.30522  5 
-0.454545 -1.31808  5 
-0.555556 -1.34418  5 
-0.560028 -1.34538  5 
-0.656566 -1.37124  5 
-0.709858 -1.38554  5 
-0.757576 -1.39837  5 
-0.858586 -1.42493  5 
-0.861675 -1.4257  5 
-0.959596 -1.45046  5 
-1.02407 -1.46586  5 
-1.06061 -1.47468  5 
-1.16162 -1.49737  5 
-1.20356 -1.50602  5 
-1.26263 -1.51838  5 
-1.36364 -1.53761  5 
-1.41381 -1.54618  5 
-1.46465 -1.555  5 
-1.56566 -1.57048  5 
-1.66667 -1.58409  5 
-1.68659 -1.58635  5 
-1.76768 -1.59567  5 
-1.86869 -1.60529  5 
-1.9697 -1.61293  5 
-2.07071 -1.61857  5 
-2.17172 -1.62218  5 
-2.27273 -1.62372  5 
-2.37374 -1.62315  5 
-2.47475 -1.62046  5 
-2.57576 -1.61559  5 
-2.67677 -1.60853  5 
-2.77778 -1.59925  5 
-2.87879 -1.58771  5 

 2.87879  1.58771  5 
 2.88903  1.58635  5 
 2.9798  1.57364  5 
 3.08081  1.55718  5 
 3.14041  1.54618  5 
 3.18182  1.53816  5 
 3.28283  1.51643  5 
 3.32689  1.50602  5 
 3.38384  1.49188  5 
 3.47999  1.46586  5 
 3.48485  1.46448  5 
 3.58586  1.43376  5 
 3.6107  1.4257  5 
 3.68687  1.39969  5 
 3.72604  1.38554  5 
 3.78788  1.362  5 
 3.82948  1.34538  5 
 3.88889  1.32036  5 
 3.92334  1.30522  5 
 3.9899  1.27437  5 
 4.00925  1.26506  5 
 4.08839  1.2249  5 
 4.09091  1.22355  5 
 4.16142  1.18474  5 
 4.19192  1.16698  5 
 4.22936  1.14458  5 
 4.29277  1.10442  5 
 4.29293  1.10431  5 
 4.35176  1.06426  5 
 4.39394  1.03377  5 
 4.40707  1.0241  5 
 4.45876  0.983936  5 
 4.49495  0.954091  5 
 4.50726  0.943775  5 
 4.55263  0.903614  5 
 4.59523  0.863454  5 
 4.59596  0.86273  5 
 4.63504  0.823293  5 
 4.67235  0.783133  5 
 4.69697  0.754873  5 
 4.70723  0.742972  5 
 4.73976  0.702811  5 
 4.77009  0.662651  5 
 4.79798  0.62294  5 
 4.79829  0.62249  5 
 4.8244  0.582329  5 
 4.84852  0.542169  5 
 4.87071  0.502008  5 
 4.89102  0.461847  5 
 4.89899  0.444556  5 
 4.90948  0.421687  5 
 4.92614  0.381526  5 
 4.94105  0.341365  5 
 4.95422  0.301205  5 
 4.96569  0.261044  5 
 4.97549  0.220884  5 
 4.98362  0.180723  5 
 4.9901  0.140562  5 
 4.99495  0.100402  5 
 4.99818  0.060241  5 
 4.9998  0.0200803  5 
 4.9998 -0.0200803  5 
 4.99818 -0.060241  5 
 4.99495 -0.100402  5 
 4.9901 -0.140562  5 
 4.98362 -0.180723  5 
 4.97549 -0.220884  5 
 4.96569 -0.261044  5 
 4.95422 -0.301205  5 
 4.94105 -0.341365  5 
 4.92614 -0.381526  5 
 4.90948 -0.421687  5 
 4.89899 -0.444556  5 
 4.89102 -0.461847  5 
 4.87071 -0.502008  5 
 4.84852 -0.542169  5 
 4.8244 -0.582329  5 
 4.79829 -0.62249  5 
 4.79798 -0.62294  5 
 4.77009 -0.662651  5 
 4.73976 -0.702811  5 
 4.70723 -0.742972  5 
 4.69697 -0.754873  5 
 4.67235 -0.783133  5 
 4.63504 -0.823293  5 
 4.59596 -0.86273  5 
 4.59523 -0.863454  5 
 4.55263 -0.903614  5 
 4.50726 -0.943775  5 
 4.49495 -0.954091  5 
 4.45876 -0.983936  5 
 4.40707 -1.0241  5 
 4.39394 -1.03377  5 
 4.35176 -1.06426  5 
 4.29293 -1.10431  5 
 4.29277 -1.10442  5 
 4.22936 -1.14458  5 
 4.19192 -1.16698  5 
 4.16142 -1.18474  5 

-4.16142  1.18474  5 
-4.09091  1.22355  5 
-4.08839  1.2249  5 
-4.00925  1.26506  5 
-3.9899  1.27437  5 
-3.92334  1.30522  5 
-3.88889  1.32036  5 
-3.82948  1.34538  5 
-3.78788  1.362  5 
-3.72604  1.38554  5 
-3.68687  1.39969  5 
-3.6107  1.4257  5 
-3.58586  1.43376  5 
-3.48485  1.46448  5 
-3.47999  1.46586  5 
-3.38384  1.49188  5 
-3.32689  1.50602  5 
-3.28283  1.51643  5 
-3.18182  1.53816  5 
-3.14041  1.54618  5 
-3.08081  1.55718  5 
-2.9798  1.57364  5 
-2.88903  1.58635  5 
-2.87879  1.58771  5 
-2.77778  1.59925  5 
-2.67677  1.60853  5 
-2.57576  1.61559  5 
-2.47475  1.62046  5 
-2.37374  1.62315  5 
-2.27273  1.62372  5 
-2.17172  1.62218  5 
-2.07071  1.61857  5 
-1.9697  1.61293  5 
-1.86869  1.60529  5 
-1.76768  1.59567  5 
-1.68659  1.58635  5 
-1.66667  1.58409  5 
-1.56566  1.57048  5 
-1.46465  1.555  5 
-1.41381  1.54618  5 
-1.36364  1.53761  5 
-1.26263  1.51838  5 
-1.20356  1.50602  5 
-1.16162  1.49737  5 
-1.06061  1.47468  5 
-1.02407  1.46586  5 
-0.959596  1.45046  5 
-0.861675  1.4257  5 
-0.858586  1.42493  5 
-0.757576  1.39837  5 
-0.709858  1.38554  5 
-0.656566  1.37124  5 
-0.560028  1.34538  5 
-0.555556  1.34418  5 
-0.454545  1.31808  5 
-0.400081  1.30522  5 
-0.353535  1.29413  5 
-0.252525  1.27385  5 
-0.192667  1.26506  5 
-0.151515  1.25896  5 
-0.0505051  1.25102  5 
 0.0505051  1.25102  5 
 0.151515  1.25896  5 
 0.192667  1.26506  5 
 0.252525  1.27385  5 
 0.353535  1.29413  5 
 0.400081  1.30522  5 
 0.454545  1.31808  5 
 0.555556  1.34418  5 
 0.560028  1.34538  5 
 0.656566  1.37124  5 
 0.709858  1.38554  5 
 0.757576  1.39837  5 
 0.858586  1.42493  5 
 0.861675  1.4257  5 
 0.959596  1.45046  5 
 1.02407  1.46586  5 
 1.06061  1.47468  5 
 1.16162  1.49737  5 
 1.20356  1.50602  5 
 1.26263  1.51838  5 
 1.36364  1.53761  5 
 1.41381  1.54618  5 
 1.46465  1.555  5 
 1.56566  1.57048  5 
 1.66667  1.58409  5 
 1.68659  1.58635  5 
 1.76768  1.59567  5 
 1.86869  1.60529  5 
 1.9697  1.61293  5 
 2.07071  1.61857  5 
 2.17172  1.62218  5 
 2.27273  1.62372  5 
 2.37374  1.62315  5 
 2.47475  1.62046  5 
 2.57576  1.61559  5 
 2.67677  1.60853  5 
 2.77778  1.59925  5 
 2.87879  1.58771  5 

-2.87879 -1.58771  5 
-2.88903 -1.58635  5 
-2.9798 -1.57364  5 
-3.08081 -1.55718  5 
-3.14041 -1.54618  5 
-3.18182 -1.53816  5 
-3.28283 -1.51643  5 
-3.32689 -1.50602  5 
-3.38384 -1.49188  5 
-3.47999 -1.46586  5 
-3.48485 -1.46448  5 
-3.58586 -1.43376  5 
-3.6107 -1.4257  5 
-3.68687 -1.39969  5 
-3.72604 -1.38554  5 
-3.78788 -1.362  5 
-3.82948 -1.34538  5 
-3.88889 -1.32036  5 
-3.92334 -1.30522  5 
-3.9899 -1.27437  5 
-4.00925 -1.26506  5 
-4.08839 -1.2249  5 
-4.09091 -1.22355  5 
-4.16142 -1.18474  5 
-4.19192 -1.16698  5 
-4.22936 -1.14458  5 
-4.29277 -1.10442  5 
-4.29293 -1.10431  5 
-4.35176 -1.06426  5 
-4.39394 -1.03377  5 
-4.40707 -1.0241  5 
-4.45876 -0.983936  5 
-4.49495 -0.954091  5 
-4.50726 -0.943775  5 
-4.55263 -0.903614  5 
-4.59523 -0.863454  5 
-4.59596 -0.86273  5 
-4.63504 -0.823293  5 
-4.67235 -0.783133  5 
-4.69697 -0.754873  5 
-4.70723 -0.742972  5 
-4.73976 -0.702811  5 
-4.77009 -0.662651  5 
-4.79798 -0.62294  5 
-4.79829 -0.62249  5 
-4.8244 -0.582329  5 
-4.84852 -0.542169  5 
-4.87071 -0.502008  5 
-4.89102 -0.461847  5 
-4.89899 -0.444556  5 
-4.90948 -0.421687  5 
-4.92614 -0.381526  5 
-4.94105 -0.341365  5 
