Temp 1	Temp 2	Temp Difference	Voltage
23	-0.4	23.4	0.9
24	-0.4	24.4	1
25	-0.4	25.4	1.1
25	-0.4	25.4	1.2
26	-0.4	26.4	1.3
27	-0.6	27.6	1.4
29	-0.7	29.7	1.5
30	-0.7	30.7	1.6
34	-0.7	34.7	1.8
37	-0.7	37.7	2
38	-0.8	38.8	2.1
41	-0.8	41.8	2.2
43	-0.8	43.8	2.3
45	-0.8	45.8	2.4
47	-0.8	47.8	2.5
49	-0.8	49.8	2.6
51	-0.8	51.8	2.7
54	-0.8	54.8	2.8
56	-0.8	56.8	2.9
58	-0.8	58.8	3
60	-0.8	60.8	3.1
63	-0.8	63.8	3.2
65	-0.8	65.8	3.3
68	-0.8	68.8	3.4
70	-0.8	70.8	3.5
72	-0.8	72.8	3.6
74	-0.8	74.8	3.7
76	-0.8	76.8	3.8
78	-0.8	78.8	3.9
81	-0.8	81.8	4
83	-0.8	83.8	4.1
85	-0.8	85.8	4.2
87	-0.8	87.8	4.3
89	-0.8	89.8	4.4
91	-0.8	91.8	4.5
93	-0.8	93.8	4.6
95	-0.8	95.8	4.7
96	-0.8	96.8	4.8
98	-0.8	98.8	4.9
100	-0.8	100.8	5
102	-0.8	102.8	5.1
104	-0.8	104.8	5.2
106	-0.8	106.8	5.3
108	-0.8	108.8	5.4
110	-0.8	110.8	5.5
112	-0.8	112.8	5.6
114	-0.8	114.8	5.7
116	-0.8	116.8	5.8
118	-0.8	118.8	5.9
120	-0.8	120.8	6
122	-0.8	122.8	6.1
