Temp A	Temp B	Temp Diff	Voltage (mV)
24	-0.7	24.7	0.9
24	-0.7	24.7	1
25	-0.7	25.7	1.1
27	-0.7	27.7	1.2
29	-0.7	29.7	1.3
31	-0.7	31.7	1.4
33	-0.7	33.7	1.5
36	-0.7	36.7	1.6
39	-0.7	39.7	1.7
41	-0.7	41.7	1.8
43	-0.7	43.7	1.9
46	-0.7	46.7	2
49	-0.7	49.7	2.1
51	-0.7	51.7	2.2
53	-0.7	53.7	2.3
56	-0.7	56.7	2.4
58	-0.7	58.7	2.5
61	-0.7	61.7	2.6
63	-0.7	63.7	2.7
65	-0.7	65.7	2.8
68	-0.7	68.7	2.9
70	-0.7	70.7	3
73	-0.7	73.7	3.1
75	-0.7	75.7	3.2
78	-0.7	78.7	3.3
80	-0.7	80.7	3.4
82	-0.7	82.7	3.5
85	-0.7	85.7	3.6
87	-0.7	87.7	3.7
89	-0.7	89.7	3.8
92	-0.7	92.7	3.9
95	-0.7	95.7	4
98	-0.7	98.7	4.1
102	-0.7	102.7	4.2
105	-0.7	105.7	4.3
108	-0.7	108.7	4.4
110	-0.7	110.7	4.5
112	-0.7	112.7	4.6
114	-0.7	114.7	4.7
116	-0.7	116.7	4.8
118	-0.7	118.7	4.9
120	-0.7	120.7	5
