I(amp)	B(gauss)	B(out)		B(sq)		B(o)(sq)	B(sq)-B(o)(sq)	Hieght(mm)
0	521.08		91.202		271524.3664	8317.804804	263206.5616	0
0.31	1166.407	100.16038	1360505.29	10032.10172	1350473.188	0.13
0.61	1790.917	108.82978	3207383.701	11843.92101	3195539.78	0.29
0.88	2352.976	116.63224	5536496.057	13603.07941	5522892.977	0.5
1	2602.78		120.1		6774463.728	14424.01	6760039.718	0.7
1.3	3227.29		128.7694	10415400.74	16581.55838	10398819.19	1
1.45	3539.545	133.1041	12528378.81	17716.70144	12510662.11	1.15
1.74	4143.238	141.48452	17166421.12	20017.8694	17146403.26	1.5
2.03	4746.931	149.86494	22533353.92	22459.50024	22510894.42	2
2.23	5163.271	155.64454	26659367.42	24225.22283	26635142.2	2.28
2.51	5746.147	163.73598	33018205.35	26809.47115	32991395.87	2.7
2.7	6141.67		169.2266	37720110.39	28637.64215	37691472.75	3
2.82	6391.474	172.69436	40850939.89	29823.34198	40821116.55	3.2
2.96	6682.912	176.74008	44661312.8	31237.05588	44630075.74	3.6
3.2	7182.52		183.6756	51588593.55	33736.72604	51554856.82	3.9
3.48	7765.396	191.76704	60301375.04	36774.59763	60264600.44	4.25
3.82	8473.174	201.59236	71794677.63	40639.47961	71754038.15	4.64
4.02	8889.514	207.37196	79023459.16	43003.12979	78980456.03	4.8
